Time (s),x,y,z
9.999,0.156945712,-0.32739968,-0.781302429
22.417,0.157196424,-0.32719322,-0.782940695
34.851,0.157105256,-0.32728498,-0.781469599
47.284,0.15703688,-0.32744556,-0.779112502
59.667,0.157014088,-0.32742262,-0.778310086
72.109,0.156877336,-0.3275832,-0.775802536
84.495,0.156786168,-0.3276979,-0.774214421
96.913,0.15692292,-0.32742262,-0.776588235
109.327,0.15692292,-0.32726204,-0.778142916
121.745,0.15692292,-0.32728498,-0.778978766
134.191,0.156854544,-0.3272391,-0.778811596
146.605,0.157059672,-0.32707852,-0.780800919
158.992,0.157105256,-0.3271244,-0.780984806
171.409,0.156877336,-0.32730792,-0.778193067
183.824,0.156854544,-0.32726204,-0.777741708
196.269,0.15692292,-0.32719322,-0.778661143
208.687,0.15680896,-0.3273538,-0.776889141
221.074,0.156672208,-0.32751438,-0.773679477
233.534,0.15646708,-0.32767496,-0.77132238
245.917,0.156649416,-0.32742262,-0.773194684
258.335,0.156900128,-0.32705558,-0.777658123
270.765,0.156945712,-0.32698676,-0.779363257
283.179,0.156900128,-0.32710146,-0.778243218
9.995,0.151179336,-0.33363936,0.526351462
22.394,0.151270504,-0.3334329,0.523894063
34.808,0.15133888,-0.33338702,0.523141798
47.222,0.151316088,-0.33350172,0.523793761
59.636,0.151179336,-0.33359348,0.525515612
72.05,0.151065376,-0.33375406,0.527672105
84.464,0.150905832,-0.33382288,0.529059616
96.886,0.151088168,-0.33359348,0.526635651
109.3,0.151179336,-0.3334329,0.524495875
121.714,0.151133752,-0.3336623,0.526351462
134.128,0.15088304,-0.33375406,0.528307351
146.542,0.150928624,-0.333777,0.528875729
158.964,0.150860248,-0.33379994,0.529059616
171.378,0.150951416,-0.333777,0.528324068
183.792,0.150951416,-0.33375406,0.527855992
196.206,0.151088168,-0.33361642,0.525866669
208.62,0.151042584,-0.33384582,0.528006445
221.042,0.150974208,-0.33379994,0.528909163
233.456,0.150997,-0.33375406,0.527973011
245.87,0.150860248,-0.33382288,0.528825578
258.292,0.150951416,-0.33382288,0.528959314
270.699,0.151042584,-0.333777,0.527906143
283.12,0.151293296,-0.3335476,0.524663045
295.535,0.150997,-0.33379994,0.527855992
307.956,0.150791872,-0.33409816,0.531801204
320.37,0.150791872,-0.33409816,0.532352865
332.785,0.150746288,-0.33407522,0.532486601
345.199,0.150632328,-0.33409816,0.532703922
357.62,0.15076908,-0.33396052,0.531065656
370.035,0.150974208,-0.33368524,0.528123464
382.449,0.151088168,-0.33368524,0.526953274
394.863,0.151019792,-0.33363936,0.526719236
407.277,0.15111096,-0.33359348,0.525649348
419.699,0.150951416,-0.33340996,0.523994365
432.113,0.151247712,-0.33336408,0.522840892
444.527,0.151247712,-0.33334114,0.522372816
456.941,0.151316088,-0.33318056,0.520366776
469.355,0.151316088,-0.33311174,0.519681379
481.777,0.151430048,-0.33313468,0.519096284
494.191,0.151384464,-0.33329526,0.520634248
506.605,0.151498424,-0.3332035,0.520216323
519.027,0.151498424,-0.3332035,0.519163152
531.433,0.151589592,-0.33304292,0.517441301
543.855,0.151589592,-0.33304292,0.517692056
556.316,0.1515668,-0.33313468,0.518260434
568.683,0.151544008,-0.33318056,0.518828812
581.105,0.151475632,-0.33329526,0.520166172
593.519,0.151293296,-0.33340996,0.522122061
605.933,0.151475632,-0.3332035,0.519798398
618.347,0.151498424,-0.33327232,0.519815115
630.769,0.151407256,-0.33334114,0.521219343
